tracking_id,CD44low_rep1,CD44hi_CD69low_rep1,CD44hi_CD69hi_CD103low_rep1,CD44hi_CD69hi_CD103hi_rep1,CD44low_rep2,CD44hi_CD69low_rep2,CD44hi_CD69hi_CD103low_rep2,CD44hi_CD69hi_CD103hi_rep2
42430,0.173102,0.0735149,0.0281346,0.0719103,0,0.157784,0,0.028917
42431,2.27882,5.3882,6.27905,5.90275,2.51147,4.00894,8.45137,6.27489
42432,0.448059,2.97995,1.16787,3.35751,0.681855,2.34763,2.41772,2.30259
42433,0.287556,0.077281,0,0.0362802,0.172378,0.052884,0.0391806,0.054276
42434,4.63809,6.45544,8.35014,7.40678,5.8195,4.94602,8.16709,7.19456
42435,4.55654,6.08902,4.98571,4.8148,6.30328,5.73556,5.44957,4.19266
42436,19.3789,24.7671,14.2102,18.044,26.7591,20.5232,17.5846,15.9054
42437,0.209025,0.0713005,0.104767,0.0669452,0.0978688,0.113846,0.0240988,0.125188
42438,0.116123,0.171629,0.945844,0.64458,0.41233,0.274068,0.406122,0.120555
42439,0.386078,0,0,0.100709,0,0.137017,0.0725101,0.075335
42440,0.0517185,0,0,0,0,0,0.155043,0
42614,25.3604,45.7811,47.8381,36.4636,33.6007,41.3469,51.8513,34.644
42615,3.48658,6.36228,6.71609,9.01419,4.88144,6.65383,6.58345,7.85001
42616,0.153328,0.0226641,0.0499529,0.0319195,0,0.0434254,0.0229806,0.119379
42617,0.339509,0.143363,0.0790125,0.100954,0.295239,0.480778,0.436191,0.226592
42618,1.29E-21,0.354395,0.705878,0.751647,4.25E-07,0.53097,0.570093,0.899697
42619,16.6057,23.915,17.2972,10.1051,22.3535,21.8314,21.2503,10.8676
42620,11.1732,22.7214,30.9257,32.2488,15.8662,17.9647,27.3591,27.4945
42621,0.262109,0.918895,3.09564,1.50059,0.199152,1.50794,2.03796,0.78971
42622,8.79441,32.4301,51.7331,53.5029,12.5983,27.9465,51.9755,46.4601
42623,0.0594435,0.317378,0.145265,0.804226,0.130715,0.304092,0.193121,0.468172
42624,1.79161,6.23625,16.8046,24.4239,2.02272,7.12023,18.1903,20.5864
42625,0.204893,0.0432647,0,0.133147,0.044542,0.167093,0.0438714,0.136742
42627,0.0935376,0,0,0.194698,0.071173,0.198687,0.140203,0.0728324
42628,8.35648,14.0806,18.0357,18.7229,9.80109,14.9239,18.7486,18.1528
100043387,0.273615,0.30295,0.618372,0.244471,0.365305,0.170083,0.595059,0.504942
0610005C13Rik,0.30279,0,0.159298,0.406938,0.345604,0.428769,0,0.304557
0610007C21Rik,2.29555,2.71361,2.3936,0.955445,2.65523,1.30029,2.06468,1.8591
0610007L01Rik,3.63834,5.90488,5.80899,5.12977,4.9692,3.82995,5.82521,5.00009
0610007N19Rik,0.217236,0,0,0,0.165298,0.0769069,0,0.169152
0610007P08Rik,1.33304,1.54957,2.12931,1.72435,1.14225,1.66298,1.4742,1.04796
0610007P14Rik,0.991593,2.40738,4.03866,2.65343,1.94026,1.50449,2.01722,2.09581
0610007P22Rik,3.36462,6.04632,4.08801,4.1773,4.76693,3.46661,3.91583,2.89114
0610008F07Rik,0.108812,0,0,0,0,0,0,0
0610009B14Rik,0,0.139747,0,0,0.14394,0.267855,0,0.294593
0610009B22Rik,0.235337,0.173853,0.191721,0.24485,0.179097,0.33326,0,0
0610009D07Rik,7.77182,14.9753,14.5237,15.6992,10.3205,14.7821,14.8479,15.189
0610009L18Rik,0.335451,1.23878,0.819935,0.348934,1.78721,0.950062,0.251471,1.30634
0610009O20Rik,1.12233,2.09912,2.26213,1.9709,1.72896,2.01115,2.6963,1.81842
0610010B08Rik,0.0226391,0.0591116,0.106883,4.47E-06,0.144592,0.126078,0.0430718,0.0906508
0610010F05Rik,0.246901,0.338884,0.373465,0.330422,0.402547,0.349636,0.819404,0.357008
0610010K14Rik,3.14469,8.06563,9.12663,9.74506,6.00508,5.78433,8.47023,8.41278
0610010O12Rik,0.178054,1.05201,1.1606,0.740811,0,1.00857,0.533927,1.66418
0610011F06Rik,1.48929,3.04674,2.98649,2.38386,1.74365,1.46006,2.5761,1.96274
0610011L14Rik,1.81962,1.74021,2.23192,1.96069,1.9873,1.75814,2.43833,1.53333
0610012G03Rik,1.72695,2.59276,2.94736,2.73868,0.846247,1.78563,2.30095,3.84202
0610012H03Rik,0,0.156843,0,0,0,0,0.0795359,0
0610030E20Rik,1.90765,2.31605,2.88416,2.51979,3.26648,2.42962,3.14684,2.78147
0610031J06Rik,1.71953,5.69868,6.87584,5.09751,3.64768,4.20594,5.62345,6.49171
0610031O16Rik,0,0,0,0,0,0,0.168131,0
0610037L13Rik,2.16572,2.74349,3.02413,1.50261,2.74653,2.84781,1.85498,1.68634
0610037P05Rik,1.71095,3.62429,3.06607,4.62954,3.99249,3.79584,4.27432,3.19741
0610038B21Rik,0.471032,0.314227,1.53057,1.48273,0.503319,0.583037,1.18742,1.42605
0610038L08Rik,0.138306,0.382936,0.421317,0.535195,0.10031,2.56E-10,0.478674,0.10184
0610039K10Rik,0.923816,1.75114,1.5625,1.56133,2.62982,0.767846,1.45103,0.65591
0610040B10Rik,0.886898,0.43645,0.481878,0,0.450148,1.25593,0,0
0610040F04Rik,0.497959,4.17E-10,0.150918,0.249502,0.0709858,0.131103,0.179755,5.29E-10
0610040J01Rik,0.0833676,0,0.203715,0.0867665,0,0.0590283,0.124957,0.0649129
0610043K17Rik,1.00879,0.248357,0,0,2.3034,0.238091,0.25208,0.261901
0910001L09Rik,1.23965,4.27392,8.24728,7.95404,1.25783,3.36465,6.96878,6.5967
1100001G20Rik,0.298173,0,0,0,0,0,0,0.464605
1110001A16Rik,1.36828,2.35156,2.15414,1.57547,1.11012,1.38807,2.65584,2.13592
1110001J03Rik,1.76627,1.7384,5.75799,1.83624,3.13766,2.08434,7.94679,5.96295
1110002B05Rik,1.67827,4.51759,7.81174,4.24164,2.00678,3.48002,7.09765,5.69398
1110002L01Rik,0.373527,0.737088,0.356251,0.362545,0.226454,0.898174,0.270543,0.518337
1110002N22Rik,0.384897,0.284406,0.418033,0,0.58576,0.0908418,0.0961568,0.399612
1110003E01Rik,2.43776,2.40201,2.58729,2.15277,4.21557,2.03988,2.54662,1.72555
1110004E09Rik,1.4491,4.60411,3.4232,5.27793,1.54376,3.28331,4.01852,2.93384
1110004F10Rik,12.4296,18.1976,20.9115,21.3978,14.7614,18.5885,20.2852,18.4524
1110005A03Rik,5.41004,7.50248,7.59366,5.36976,5.82693,5.77532,6.98684,4.66653
1110006O24Rik,0.369943,0.364381,0,0,0.187693,0.174625,0.554601,0.192069
1110007C09Rik,1.7385,2.56862,4.72097,4.34109,2.29326,4.59551,7.47118,5.95708
1110008F13Rik,4.51833,8.02607,4.65817,6.83326,4.79869,8.69021,7.21856,5.22801
1110008J03Rik,0.355667,0.375461,0.165546,0,0.154645,0,0.304634,0.158251
1110008L16Rik,0.492131,0.955393,0.632222,0.875621,0.621111,0.971692,0.846359,0.719925
1110008P14Rik,1.53616,5.44629,7.00874,10.2272,3.97511,5.87345,6.21835,7.65702
1110012J17Rik,0.186413,0.0146188,0.128892,0.102954,0.0752521,0.210096,0.103767,0.0924084
1110012L19Rik,1.26282,1.8059,1.59282,1.18691,1.61193,2.88432,2.07617,1.26886
1110014N23Rik,2.31714,2.1564,3.21543,2.50108,1.95894,1.98498,3.12999,2.71737
1110015O18Rik,0.0522639,0,0.0851427,0,0.0795364,0.0740107,0.235016,0
1110017D15Rik,0,0,0.402871,0,0.376342,0,0.370678,0
1110017F19Rik,1.26213,0.932496,1.46878,1.68853,0.548827,1.53196,1.62169,0.842436
1110018G07Rik,1.87161,4.19886,4.69206,5.5267,2.40364,4.00377,4.59564,5.1054
1110018J18Rik,2.80564,4.94819,2.35925,1.88349,2.75488,1.53796,1.3567,1.40955
1110019D14Rik,0.214716,0,0.174896,0.223458,0,0.0760145,0,0
1110020A21Rik,0.528793,0.633172,0.293159,0.893056,0.326113,0,0.642408,1.67513
1110020G09Rik,1.18302,2.10465,2.05777,1.75314,1.52561,2.18638,1.5327,1.77975
1110021J02Rik,1.871,3.62269,3.71526,3.3946,2.37986,2.83992,3.29203,1.83915
1110021L09Rik,0.0448247,0.0467678,0,0,0.0401243,0,0.0790404,0.0513248
1110028C15Rik,1.33255,1.38731,1.37823,0.917102,1.54612,1.31773,1.64859,1.54559
1110028F11Rik,0.388638,1.76433,1.13052,0.809016,0.0422433,1.72967,1.7059,1.12393
1110028F18Rik,0.0610993,0,0,0,0.0929842,0.173045,0,0.285457
1110031I02Rik,0.200608,0.592922,0.815125,1.39176,0.548268,0.852242,0.701642,0.728977
1110032A03Rik,0.623478,0.281863,0.430173,0.641257,0.409289,0.872519,0.263865,0.479753
1110032A04Rik,0,0.0662178,0.0729881,0,0,0.126896,0,0.139547
