"x"
"0.644 0.644 0.723 0.644 0.64 0.774"
"0.717 0.662 0.657 0.587 0.683 0.773"
"0.723 0.547 0.613 0.573 0.46 0.447"
"0.716 0.185 0.644 0.626 0.559 0.615"
"0.669 0.568 0.321 0.629 0.439 0.486"
"0.713 0.617 0.363 0.58 0.527 0.69"
"0.705 0.613 0.184 0.552 0.417 0.299"
"0.701 0.451 0.361 0.557 0.368 0.664"
"0.634 0.649 0.389 -0.227 0.574 0.663"
"0.649 0.626 0.306 0.578 0.381 0.686"
"0.506 0.45 -0.556 0.535 0.417 0.504"
"0.58 0.649 -0.346 0.576 0.542 0.578"
"0.649 0.63 0 0.467 0.393 0.657"
"0.657 0.61 -0.047 0.418 0.296 0.711"
"0.595 0.487 NA 0.446 0.304 0.121"
"0.589 0.527 NA 0.156 0.144 0.091"
"0.64 0.624 NA 0.515 0.316 0.666"
"0.527 0.519 NA 0.516 0.58 0.42"
"0.556 0.419 NA 0.432 0.461 0.612"
"0.58 0.563 NA -0.289 0.534 0.573"
"0.589 0.382 NA -0.274 0.458 0.575"
"0.637 0.529 NA -0.321 0.51 0.501"
"0.613 0.587 NA -0.524 0.537 0.576"
"0.629 0.615 NA -0.378 0.36 0.516"
"0.623 0.553 NA -0.463 0.533 0.241"
"0.615 0.547 NA -0.56 0.481 0.648"
"0.618 0.559 NA -0.49 0.19 0.527"
"0.588 0.592 NA -0.536 0.19 0.704"
"0.581 0.583 NA -0.575 0.315 0.571"
"0.589 0.625 NA -0.553 0.484 0.418"
"0.536 0.559 NA -0.311 0.327 0.649"
"0.619 0.515 NA -0.258 0.41 0.652"
"0.608 0.488 NA -0.605 0.236 0.567"
"0.61 0.571 NA NA 0.464 0.634"
"0.621 0.51 NA NA 0.516 0.581"
"0.512 0.428 NA NA 0.487 0.4"
"0.608 0.458 NA NA 0.33 0.404"
"0.521 0.569 NA NA 0.169 0.242"
"0.566 0.566 NA NA 0.449 0.596"
"0.513 0.156 NA NA 0.203 0.641"
"0.587 0.527 NA NA 0.289 0.644"
"0.574 0.576 NA NA 0.269 0.437"
"0.512 0.497 NA NA 0.371 0.665"
"0.593 0.538 NA NA 0.44 0.396"
"0.467 0.588 NA NA 0.399 0.51"
"0.587 0.276 NA NA 0.521 0.214"
"0.589 0.573 NA NA 0.323 0.242"
"0.517 0.593 NA NA 0.352 0.415"
"0.573 0.563 NA NA 0.443 0.566"
"0.567 0.422 NA NA 0.371 0.32"
"0.57 0.572 NA NA 0.045 0.368"
"0.587 0.415 NA NA -0.291 0.658"
"0.594 0.553 NA NA -0.275 0.574"
"0.515 0.423 NA NA -0.321 0.129"
"0.574 0.428 NA NA -0.119 0.657"
"0.581 0.518 NA NA -0.137 0.412"
"0.552 0.573 NA NA -0.188 0.631"
"0.587 0.536 NA NA NA 0.476"
"0.569 0.44 NA NA NA 0.672"
"0.521 0.505 NA NA NA 0.569"
"0.461 0.482 NA NA NA 0.63"
"0.543 0.37 NA NA NA 0.617"
"0.568 0.118 NA NA NA 0.411"
"0.524 0.465 NA NA NA 0.613"
"0.568 0.567 NA NA NA 0.618"
"0.555 0.504 NA NA NA 0.639"
"0.448 0.545 NA NA NA 0.469"
"0.518 0.306 NA NA NA 0.646"
"0.521 0.5 NA NA NA 0.469"
"0.537 0.487 NA NA NA 0.594"
"0.537 0.434 NA NA NA 0.626"
"0.428 0.416 NA NA NA 0.588"
"0.548 0.399 NA NA NA 0.568"
"0.536 0.445 NA NA NA 0.623"
"0.504 0.44 NA NA NA 0.54"
"0.536 0.412 NA NA NA 0.434"
"0.551 0.559 NA NA NA 0.481"
"0.522 0.483 NA NA NA 0.637"
"0.553 0.535 NA NA NA 0.587"
"0.449 0.501 NA NA NA 0.305"
"0.506 0.46 NA NA NA 0.413"
"0.467 0.461 NA NA NA 0.649"
"-0.188 0.502 NA NA NA 0.597"
"-0.399 0.487 NA NA NA 0.563"
"-0.346 0.46 NA NA NA 0.209"
"NA 0.418 NA NA NA 0.64"
"NA 0.456 NA NA NA 0.569"
"NA 0.551 NA NA NA 0.624"
"NA 0.516 NA NA NA 0.618"
"NA 0.523 NA NA NA 0.245"
"NA 0.467 NA NA NA 0.37"
"NA 0.538 NA NA NA 0.638"
"NA 0.386 NA NA NA 0.559"
"NA 0.545 NA NA NA 0.581"
"NA 0.497 NA NA NA 0.351"
"NA 0.477 NA NA NA 0.526"
"NA 0.461 NA NA NA 0.334"
"NA 0.481 NA NA NA 0.457"
"NA 0.429 NA NA NA 0.498"
"NA -0.146 NA NA NA 0.458"
"NA 0.077 NA NA NA 0.546"
"NA -0.318 NA NA NA 0.625"
"NA -0.398 NA NA NA 0.593"
"NA -0.417 NA NA NA 0.385"
"NA -0.346 NA NA NA 0.63"
"NA -0.115 NA NA NA 0.55"
"NA -0.389 NA NA NA 0.521"
"NA -0.128 NA NA NA 0.145"
"NA -0.26 NA NA NA 0.496"
"NA -0.556 NA NA NA 0.492"
"NA -0.364 NA NA NA 0.471"
"NA -0.56 NA NA NA 0.476"
"NA -0.242 NA NA NA 0.374"
"NA -0.202 NA NA NA 0.585"
"NA -0.524 NA NA NA 0.363"
"NA -0.445 NA NA NA 0.061"
"NA -0.575 NA NA NA 0.168"
"NA -0.432 NA NA NA 0.353"
"NA -0.459 NA NA NA 0.592"
"NA -0.438 NA NA NA 0.576"
"NA -0.442 NA NA NA 0.627"
"NA -0.258 NA NA NA 0.538"
"NA -0.474 NA NA NA 0.559"
"NA -0.383 NA NA NA 0.608"
"NA -0.451 NA NA NA 0.574"
"NA -0.321 NA NA NA 0.51"
"NA -0.605 NA NA NA 0.518"
"NA -0.443 NA NA NA 0.593"
"NA -0.479 NA NA NA 0.43"
"NA -0.371 NA NA NA 0.587"
"NA -0.536 NA NA NA 0.502"
"NA -0.399 NA NA NA 0.417"
"NA -0.517 NA NA NA 0.511"
"NA -0.49 NA NA NA 0.306"
"NA -0.553 NA NA NA 0.18"
"NA -0.741 NA NA NA 0.534"
"NA NA NA NA NA 0.571"
"NA NA NA NA NA 0.471"
"NA NA NA NA NA 0.501"
"NA NA NA NA NA 0.48"
"NA NA NA NA NA 0.614"
"NA NA NA NA NA 0.33"
"NA NA NA NA NA 0.383"
"NA NA NA NA NA 0.556"
"NA NA NA NA NA 0.488"
"NA NA NA NA NA 0.135"
"NA NA NA NA NA 0.543"
"NA NA NA NA NA 0.48"
"NA NA NA NA NA 0.4"
"NA NA NA NA NA 0.544"
"NA NA NA NA NA 0.537"
"NA NA NA NA NA 0.278"
"NA NA NA NA NA 0.57"
"NA NA NA NA NA 0.407"
"NA NA NA NA NA 0.424"
"NA NA NA NA NA 0.323"
"NA NA NA NA NA 0.168"
