"tracking_id","CD44low_rep","CD44hi_CD69low_rep","CD44hi_CD69hi_CD103low_rep","CD44hi_CD69hi_CD103hi_rep"
"42430",0.086551,0.11564945,0.0140673,0.05041365
"42431",2.395145,4.69857,7.36521,6.08882
"42432",0.564957,2.66379,1.792795,2.83005
"42433",0.229967,0.0650825,0.0195903,0.0452781
"42434",5.228795,5.70073,8.258615,7.30067
"42435",5.42991,5.91229,5.21764,4.50373
"42436",23.069,22.64515,15.8974,16.9747
"42437",0.1534469,0.09257325,0.0644329,0.0960666
"42438",0.2642265,0.2228485,0.675983,0.3825675
"42439",0.193039,0.0685085,0.03625505,0.088022
"42440",0.02585925,0,0.0775215,0
"42614",29.48055,43.564,49.8447,35.5538
"42615",4.18401,6.508055,6.64977,8.4321
"42616",0.076664,0.03304475,0.03646675,0.07564925
"42617",0.317374,0.3120705,0.25760175,0.163773
"42618",2.12500000000001e-07,0.4426825,0.6379855,0.825672
"42619",19.4796,22.8732,19.27375,10.48635
"42620",13.5197,20.34305,29.1424,29.87165
"42621",0.2306305,1.2134175,2.5668,1.14515
"42622",10.696355,30.1883,51.8543,49.9815
"42623",0.09507925,0.310735,0.169193,0.636199
"42624",1.907165,6.67824,17.49745,22.50515
"42625",0.1247175,0.10517885,0.0219357,0.1349445
"42627",0.0823553,0.0993435,0.0701015,0.1337652
"42628",9.078785,14.50225,18.39215,18.43785
"100043387",0.31946,0.2365165,0.6067155,0.3747065
"0610005C13Rik",0.324197,0.2143845,0.079649,0.3557475
"0610007C21Rik",2.47539,2.00695,2.22914,1.4072725
"0610007L01Rik",4.30377,4.867415,5.8171,5.06493
"0610007N19Rik",0.191267,0.03845345,0,0.084576
"0610007P08Rik",1.237645,1.606275,1.801755,1.386155
"0610007P14Rik",1.4659265,1.955935,3.02794,2.37462
"0610007P22Rik",4.065775,4.756465,4.00192,3.53422
"0610008F07Rik",0.054406,0,0,0
"0610009B14Rik",0.07197,0.203801,0,0.1472965
"0610009B22Rik",0.207217,0.2535565,0.0958605,0.122425
"0610009D07Rik",9.04616,14.8787,14.6858,15.4441
"0610009L18Rik",1.0613305,1.094421,0.535703,0.827637
"0610009O20Rik",1.425645,2.055135,2.479215,1.89466
"0610010B08Rik",0.08361555,0.0925948,0.0749774,0.045327635
"0610010F05Rik",0.324724,0.34426,0.5964345,0.343715
"0610010K14Rik",4.574885,6.92498,8.79843,9.07892
