no,geneIDs,a-cells,a donor,no,geneIDs,b-cells,b donor,no,geneIDs,g-cells,g donor,no,geneIDs,d-cells,d donor,no,geneIDs,acinar cell type,acinar donor,no,geneIDs,ductal cell type,ductal donor,all cells
1,'PCSK1N',0.847,0.644,1,'PCSK1N',0.858,0.644,1,'RPLP1',0.81,0.723,1,'PCSK1N',0.751,0.644,1,'RPL7A',0.776,0.64,1,'EEF2',0.855,0.774,0.644
2,'BCAM',0.823,0.717,2,'SNHG7',0.796,0.662,2,'CTSD',0.761,0.657,2,'CELF3',0.723,0.587,2,'AP1S1',0.775,0.683,2,'PPDPF',0.854,0.773,0.717
3,'RPLP1',0.821,0.723,3,'C1QL1',0.76,0.547,3,'NPDC1',0.722,0.613,3,'CDK5R2',0.715,0.573,3,'JUND',0.766,0.46,3,'PRSS22',0.842,0.447,0.723
4,'RPL18',0.804,0.716,4,'INS',0.738,0.185,4,'PCSK1N',0.717,0.644,4,'TPGS1',0.706,0.626,4,'ACAP3',0.715,0.559,4,'CD151',0.837,0.615,0.716
5,'BSG',0.789,0.669,5,'ZSCAN18',0.737,0.568,5,'PTP4A3',0.655,0.321,5,'PODXL2',0.701,0.629,5,'OGFR',0.702,0.439,5,'HLA-A',0.834,0.486,0.669
6,'RPL37',0.789,0.713,6,'TMEM259',0.733,0.617,6,'ALDOA',0.655,0.363,6,'CALY',0.687,0.58,6,'STK11',0.694,0.527,6,'TAF10',0.833,0.69,0.713
7,'TAAR5',0.786,0.705,7,'NPDC1',0.733,0.613,7,'CLU',0.634,0.184,7,'CDIP1',0.659,0.552,7,'ASXL1',0.686,0.417,7,'SERINC2',0.822,0.299,0.705
8,'RPL35',0.773,0.701,8,'NKX6-1',0.73,0.451,8,'EIF5A',0.627,0.361,8,'CNOT3',0.653,0.557,8,'KCMF1',0.68,0.368,8,'APH1A',0.818,0.664,0.701
9,'EEF1A2',0.759,0.634,9,'PSD',0.729,0.649,9,'CFL1',0.614,0.389,9,'SST',0.645,-0.227,9,'RPS12',0.675,0.574,9,'AES',0.811,0.663,0.634
10,'PSD',0.758,0.649,10,'GRINA',0.729,0.626,10,'GIGYF1',0.61,0.306,10,'RNF187',0.638,0.578,10,'CTIF',0.674,0.381,10,'ATP6V0C',0.81,0.686,0.649
11,'VGF',0.757,0.506,11,'CHGA',0.728,0.45,11,'DDX5',-0.64,-0.556,11,'FOXP4',0.637,0.535,11,'SLC25A23',0.674,0.417,11,'SEPT9',0.807,0.504,0.506
12,'CALY',0.751,0.58,12,'AKT1S1',0.727,0.649,12,'SCG5',-0.654,-0.346,12,'PNPLA2',0.637,0.576,12,'FN3K',0.67,0.542,12,'RNF187',0.797,0.578,0.58
13,'NENF',0.744,0.649,13,'MIB2',0.718,0.63,13,'LOC643355',-0.656,0,13,'POFUT2',0.617,0.467,13,'ABTB1',0.669,0.393,13,'CTSD',0.791,0.657,0.649
14,'RPL11',0.731,0.657,14,'CSNK1D',0.717,0.61,14,'CPE',-0.705,-0.047,14,'C19orf66',0.613,0.418,14,'RNF208',0.668,0.296,14,'SCAMP4',0.791,0.711,0.657
15,'CNIH2',0.724,0.595,15,'STX1A',0.716,0.487,,,,,15,'LRRC61',0.606,0.446,15,'TRNP1',0.665,0.304,15,'SPNS2',0.789,0.121,0.595
16,'COX8A',0.724,0.589,16,'SLC22A17',0.715,0.527,,,,,16,'PDX1',0.606,0.156,16,'SGK223',0.662,0.144,16,'CDC42EP1',0.789,0.091,0.589
17,'RPS11',0.715,0.64,17,'PLEC',0.715,0.624,,,,,17,'PTPRN',0.606,0.515,17,'DVL1',0.661,0.316,17,'ZNF428',0.788,0.666,0.64
18,'SLC22A17',0.71,0.527,18,'GPR56',0.712,0.519,,,,,18,'ZDHHC1',0.603,0.516,18,'MINK1',0.652,0.58,18,'CITED4',0.787,0.42,0.527
19,'RPS23',0.709,0.556,19,'ATP2A3',0.711,0.419,,,,,19,'LOC728392',0.601,0.432,19,'EMC10',0.65,0.461,19,'TMED9',0.786,0.612,0.556
20,'RPS13',0.709,0.58,20,'NSMF',0.709,0.563,,,,,20,'ATP6V1B2',-0.606,-0.289,20,'MAP2K2',0.645,0.534,20,'ACTN4',0.786,0.573,0.58
21,'H2AFJ',0.702,0.589,21,'FAM69B',0.7,0.382,,,,,21,'NDUFB6',-0.607,-0.274,21,'CSNK1G2',0.644,0.458,21,'PTBP1',0.784,0.575,0.589
22,'RPS15A',0.701,0.637,22,'DTX3',0.697,0.529,,,,,22,'ENPP2',-0.613,-0.321,22,'PPP2R4',0.644,0.51,22,'HNRNPA0',0.784,0.501,0.637
23,'NPDC1',0.699,0.613,23,'PTMS',0.696,0.587,,,,,23,'PPP1CB',-0.62,-0.524,23,'SRRM2',0.643,0.537,23,'ERH',0.781,0.576,0.613
24,'PODXL2',0.697,0.629,24,'CD151',0.696,0.615,,,,,24,'DSTN',-0.624,-0.378,24,'XAB2',0.639,0.36,24,'PPP1R14B',0.781,0.516,0.629
