geneIDs	a_cell	a_donor	geneIDs	b_cell	b_donor	geneIDs	g_cell	g_donor	geneIDs	d_cell	d_donor	geneIDs	acinar_cell	acinar_donor	geneIDs	ductal_cell	ductal_donor
'PCSK1N'	0.847	0.644	'PCSK1N'	0.858	0.644	'RPLP1'	0.81	0.723	'PCSK1N'	0.751	0.644	'RPL7A'	0.776	0.64	'EEF2'	0.855	0.774
'BCAM'	0.823	0.717	'SNHG7'	0.796	0.662	'CTSD'	0.761	0.657	'CELF3'	0.723	0.587	'AP1S1'	0.775	0.683	'PPDPF'	0.854	0.773
'RPLP1'	0.821	0.723	'C1QL1'	0.76	0.547	'NPDC1'	0.722	0.613	'CDK5R2'	0.715	0.573	'JUND'	0.766	0.46	'PRSS22'	0.842	0.447
'RPL18'	0.804	0.716	'INS'	0.738	0.185	'PCSK1N'	0.717	0.644	'TPGS1'	0.706	0.626	'ACAP3'	0.715	0.559	'CD151'	0.837	0.615
'BSG'	0.789	0.669	'ZSCAN18'	0.737	0.568	'PTP4A3'	0.655	0.321	'PODXL2'	0.701	0.629	'OGFR'	0.702	0.439	'HLA-A'	0.834	0.486
'RPL37'	0.789	0.713	'TMEM259'	0.733	0.617	'ALDOA'	0.655	0.363	'CALY'	0.687	0.58	'STK11'	0.694	0.527	'TAF10'	0.833	0.69
'TAAR5'	0.786	0.705	'NPDC1'	0.733	0.613	'CLU'	0.634	0.184	'CDIP1'	0.659	0.552	'ASXL1'	0.686	0.417	'SERINC2'	0.822	0.299
'RPL35'	0.773	0.701	'NKX6-1'	0.73	0.451	'EIF5A'	0.627	0.361	'CNOT3'	0.653	0.557	'KCMF1'	0.68	0.368	'APH1A'	0.818	0.664
'EEF1A2'	0.759	0.634	'PSD'	0.729	0.649	'CFL1'	0.614	0.389	'SST'	0.645	-0.227	'RPS12'	0.675	0.574	'AES'	0.811	0.663
'PSD'	0.758	0.649	'GRINA'	0.729	0.626	'GIGYF1'	0.61	0.306	'RNF187'	0.638	0.578	'CTIF'	0.674	0.381	'ATP6V0C'	0.81	0.686
'VGF'	0.757	0.506	'CHGA'	0.728	0.45	'DDX5'	-0.64	-0.556	'FOXP4'	0.637	0.535	'SLC25A23'	0.674	0.417	'SEPT9'	0.807	0.504
'CALY'	0.751	0.58	'AKT1S1'	0.727	0.649	'SCG5'	-0.654	-0.346	'PNPLA2'	0.637	0.576	'FN3K'	0.67	0.542	'RNF187'	0.797	0.578
'NENF'	0.744	0.649	'MIB2'	0.718	0.63	'LOC643355'	-0.656	0	'POFUT2'	0.617	0.467	'ABTB1'	0.669	0.393	'CTSD'	0.791	0.657
'RPL11'	0.731	0.657	'CSNK1D'	0.717	0.61	'CPE'	-0.705	-0.047	'C19orf66'	0.613	0.418	'RNF208'	0.668	0.296	'SCAMP4'	0.791	0.711
'CNIH2'	0.724	0.595	'STX1A'	0.716	0.487				'LRRC61'	0.606	0.446	'TRNP1'	0.665	0.304	'SPNS2'	0.789	0.121
'COX8A'	0.724	0.589	'SLC22A17'	0.715	0.527				'PDX1'	0.606	0.156	'SGK223'	0.662	0.144	'CDC42EP1'	0.789	0.091
'RPS11'	0.715	0.64	'PLEC'	0.715	0.624				'PTPRN'	0.606	0.515	'DVL1'	0.661	0.316	'ZNF428'	0.788	0.666
'SLC22A17'	0.71	0.527	'GPR56'	0.712	0.519				'ZDHHC1'	0.603	0.516	'MINK1'	0.652	0.58	'CITED4'	0.787	0.42
'RPS23'	0.709	0.556	'ATP2A3'	0.711	0.419				'LOC728392'	0.601	0.432	'EMC10'	0.65	0.461	'TMED9'	0.786	0.612
'RPS13'	0.709	0.58	'NSMF'	0.709	0.563				'ATP6V1B2'	-0.606	-0.289	'MAP2K2'	0.645	0.534	'ACTN4'	0.786	0.573
'H2AFJ'	0.702	0.589	'FAM69B'	0.7	0.382				'NDUFB6'	-0.607	-0.274	'CSNK1G2'	0.644	0.458	'PTBP1'	0.784	0.575
'RPS15A'	0.701	0.637	'DTX3'	0.697	0.529				'ENPP2'	-0.613	-0.321	'PPP2R4'	0.644	0.51	'HNRNPA0'	0.784	0.501
'NPDC1'	0.699	0.613	'PTMS'	0.696	0.587				'PPP1CB'	-0.62	-0.524	'SRRM2'	0.643	0.537	'ERH'	0.781	0.576
'PODXL2'	0.697	0.629	'CD151'	0.696	0.615				'DSTN'	-0.624	-0.378	'XAB2'	0.639	0.36	'PPP1R14B'	0.781	0.516
'MRPL23'	0.697	0.623	'CUEDC1'	0.696	0.553				'HSBP1'	-0.634	-0.463	'PGP'	0.637	0.533	'SOD3'	0.779	0.241
'CD151'	0.695	0.615	'ZNF358'	0.694	0.547				'PPY'	-0.641	-0.56	'TNIP1'	0.636	0.481	'RPS2'	0.778	0.648
'RPS29'	0.694	0.618	'TLE2'	0.69	0.559				'NDUFA1'	-0.651	-0.49	'CSAD'	0.633	0.19	'PLXNB2'	0.776	0.527
'RPL12'	0.69	0.588	'CBX6'	0.689	0.592				'H3F3B'	-0.679	-0.536	'ARHGEF12'	0.632	0.19	'RPS16'	0.775	0.704
'VWA1'	0.689	0.581	'AKAP8L'	0.689	0.583				'SET'	-0.68	-0.575	'LRWD1'	0.631	0.315	'MYH14'	0.774	0.571
'RPL30'	0.687	0.589	'NCOR2'	0.689	0.625				'TSPYL1'	-0.698	-0.553	'ATP13A2'	0.63	0.484	'VPS37B'	0.773	0.418
'RPL27A'	0.686	0.536	'VAT1'	0.687	0.559				'TPD52'	-0.703	-0.311	'SKI'	0.63	0.327	'AKT1S1'	0.773	0.649
'MAP1LC3A'	0.686	0.619	'PTPRN'	0.686	0.515				'PCP4'	-0.706	-0.258	'INPP5E'	0.627	0.41	'GNB2'	0.773	0.652
'RPL35A'	0.686	0.608	'RAB26'	0.686	0.488				'SRP9'	-0.717	-0.605	'MARVELD3'	0.626	0.236	'LRP10'	0.772	0.567
'CLSTN3'	0.684	0.61	'MYH14'	0.685	0.571							'AP2A2'	0.617	0.464	'R3HDM4'	0.771	0.634
