geneIDs	a_cell	a_donor	geneIDs	b_cell	b_donor	geneIDs	g_cell	g_donor	geneIDs	d_cell	d_donor	geneIDs	acinar_cell	acinar_donor	geneIDs	ductal_cell	ductal_donor	rank	geneIDs	correlation	p-value	adj p-value	RefSeq	RPKM
'PCSK1N'	0.847	0.644	'PCSK1N'	0.858	0.644	'RPLP1'	0.81	0.723	'PCSK1N'	0.751	0.644	'RPL7A'	0.776	0.64	'EEF2'	0.855	0.774	1	'RPLP2'	0.80	1.08E-191	2.16E-186	34347	3028
'BCAM'	0.823	0.717	'SNHG7'	0.796	0.662	'CTSD'	0.761	0.657	'CELF3'	0.723	0.587	'AP1S1'	0.775	0.683	'PPDPF'	0.854	0.773	2	'EEF2'	0.77	2.43E-173	1.73E-168	398136	3081
'RPLP1'	0.821	0.723	'C1QL1'	0.76	0.547	'NPDC1'	0.722	0.613	'CDK5R2'	0.715	0.573	'JUND'	0.766	0.46	'PRSS22'	0.842	0.447	3	'FKBP8'	0.77	2.60E-173	1.73E-168	227653	4336
'RPL18'	0.804	0.716	'INS'	0.738	0.185	'PCSK1N'	0.717	0.644	'TPGS1'	0.706	0.626	'ACAP3'	0.715	0.559	'CD151'	0.837	0.615	4	'PPDPF'	0.77	5.24E-172	2.62E-167	586047	5384
'BSG'	0.789	0.669	'ZSCAN18'	0.737	0.568	'PTP4A3'	0.655	0.321	'PODXL2'	0.701	0.629	'OGFR'	0.702	0.439	'HLA-A'	0.834	0.486	5	'RPS15'	0.77	1.92E-170	7.68E-166	992661	3404
'RPL37'	0.789	0.713	'TMEM259'	0.733	0.617	'ALDOA'	0.655	0.363	'CALY'	0.687	0.58	'STK11'	0.694	0.527	'TAF10'	0.833	0.69	6	'RPL8'	0.75	1.61E-156	5.38E-152	198984	5346
'TAAR5'	0.786	0.705	'NPDC1'	0.733	0.613	'CLU'	0.634	0.184	'CDIP1'	0.659	0.552	'ASXL1'	0.686	0.417	'SERINC2'	0.822	0.299	7	'RPS21'	0.74	1.38E-148	3.45E-144	496154	4141
'RPL35'	0.773	0.701	'NKX6-1'	0.73	0.451	'EIF5A'	0.627	0.361	'CNOT3'	0.653	0.557	'KCMF1'	0.68	0.368	'APH1A'	0.818	0.664	8	'GPX4'	0.74	3.88E-148	8.63E-144	901889	4722
'EEF1A2'	0.759	0.634	'PSD'	0.729	0.649	'CFL1'	0.614	0.389	'SST'	0.645	-0.227	'RPS12'	0.675	0.574	'AES'	0.811	0.663	9	'RPL36'	0.73	2.67E-147	5.34E-143	1207362	4870
'PSD'	0.758	0.649	'GRINA'	0.729	0.626	'GIGYF1'	0.61	0.306	'RNF187'	0.638	0.578	'CTIF'	0.674	0.381	'ATP6V0C'	0.81	0.686	10	'RPS9'	0.73	1.60E-146	2.91E-142	1155030	4388
'VGF'	0.757	0.506	'CHGA'	0.728	0.45	'DDX5'	-0.64	-0.556	'FOXP4'	0.637	0.535	'SLC25A23'	0.674	0.417	'SEPT9'	0.807	0.504	11	'METRN'	0.73	4.25E-146	7.09E-142	1164820	6621
'CALY'	0.751	0.58	'AKT1S1'	0.727	0.649	'SCG5'	-0.654	-0.346	'PNPLA2'	0.637	0.576	'FN3K'	0.67	0.542	'RNF187'	0.797	0.578	12	'RPL37A'	0.73	8.15E-145	1.25E-140	111178	5232
'NENF'	0.744	0.649	'MIB2'	0.718	0.63	'LOC643355'	-0.656	0	'POFUT2'	0.617	0.467	'ABTB1'	0.669	0.393	'CTSD'	0.791	0.657	13	'ARHGDIA'	0.73	2.76E-143	3.95E-139	333379	5498
'RPL11'	0.731	0.657	'CSNK1D'	0.717	0.61	'CPE'	-0.705	-0.047	'C19orf66'	0.613	0.418	'RNF208'	0.668	0.296	'SCAMP4'	0.791	0.711	14	'RPLP1'	0.72	1.08E-140	1.44E-136	44384	4239
'CNIH2'	0.724	0.595	'STX1A'	0.716	0.487				'LRRC61'	0.606	0.446	'TRNP1'	0.665	0.304	'SPNS2'	0.789	0.121	15	'RPL13'	0.72	1.01E-138	1.26E-134	287127	4400
'COX8A'	0.724	0.589	'SLC22A17'	0.715	0.527				'PDX1'	0.606	0.156	'SGK223'	0.662	0.144	'CDC42EP1'	0.789	0.091	16	'RAB11B'	0.72	1.39E-137	1.64E-133	479778	2213
'RPS11'	0.715	0.64	'PLEC'	0.715	0.624				'PTPRN'	0.606	0.515	'DVL1'	0.661	0.316	'ZNF428'	0.788	0.666	17	'BCAM'	0.72	3.32E-137	3.69E-133	492578	4184
'SLC22A17'	0.71	0.527	'GPR56'	0.712	0.519				'ZDHHC1'	0.603	0.516	'MINK1'	0.652	0.58	'CITED4'	0.787	0.42	18	'RPL18'	0.72	1.31E-136	1.38E-132	602634	4383
'RPS23'	0.709	0.556	'ATP2A3'	0.711	0.419				'LOC728392'	0.601	0.432	'EMC10'	0.65	0.461	'TMED9'	0.786	0.612	19	'ATP5D'	0.71	5.30E-135	5.30E-131	743195	6126
'RPS13'	0.709	0.58	'NSMF'	0.709	0.563				'ATP6V1B2'	-0.606	-0.289	'MAP2K2'	0.645	0.534	'ACTN4'	0.786	0.573	20	'RPL37'	0.71	1.27E-134	1.21E-130	897381	4646
'H2AFJ'	0.702	0.589	'FAM69B'	0.7	0.382				'NDUFB6'	-0.607	-0.274	'CSNK1G2'	0.644	0.458	'PTBP1'	0.784	0.575	21	'SCAMP4'	0.71	4.95E-134	4.51E-130	1083413	4204
'RPS15A'	0.701	0.637	'DTX3'	0.697	0.529				'ENPP2'	-0.613	-0.321	'PPP2R4'	0.644	0.51	'HNRNPA0'	0.784	0.501	22	'SF3A2'	0.71	4.62E-132	4.03E-128	1361904	4888
'NPDC1'	0.699	0.613	'PTMS'	0.696	0.587				'PPP1CB'	-0.62	-0.524	'SRRM2'	0.643	0.537	'ERH'	0.781	0.576	23	'TAAR5'	0.71	7.64E-131	6.37E-127	1366853	4517
'PODXL2'	0.697	0.629	'CD151'	0.696	0.615				'DSTN'	-0.624	-0.378	'XAB2'	0.639	0.36	'PPP1R14B'	0.781	0.516	24	'CLPTM1'	0.70	3.51E-130	2.81E-126	381246	4843
'MRPL23'	0.697	0.623	'CUEDC1'	0.696	0.553				'HSBP1'	-0.634	-0.463	'PGP'	0.637	0.533	'SOD3'	0.779	0.241	25	'RPS16'	0.70	3.65E-130	2.81E-126	1422544	4505
'CD151'	0.695	0.615	'ZNF358'	0.694	0.547				'PPY'	-0.641	-0.56	'TNIP1'	0.636	0.481	'RPS2'	0.778	0.648	26	'C4orf48'	0.70	8.61E-130	6.38E-126	1211809	3089
'RPS29'	0.694	0.618	'TLE2'	0.69	0.559				'NDUFA1'	-0.651	-0.49	'CSAD'	0.633	0.19	'PLXNB2'	0.776	0.527	27	'RPL35'	0.70	8.56E-129	6.12E-125	889404	2455
'RPL12'	0.69	0.588	'CBX6'	0.689	0.592				'H3F3B'	-0.679	-0.536	'ARHGEF12'	0.632	0.19	'RPS16'	0.775	0.704	28	'TMUB1'	0.70	2.59E-127	1.79E-123	1152829	5629
'VWA1'	0.689	0.581	'AKAP8L'	0.689	0.583				'SET'	-0.68	-0.575	'LRWD1'	0.631	0.315	'MYH14'	0.774	0.571	29	'ATP5E'	0.70	4.76E-127	3.18E-123	898445	2980
'RPL30'	0.687	0.589	'NCOR2'	0.689	0.625				'TSPYL1'	-0.698	-0.553	'ATP13A2'	0.63	0.484	'VPS37B'	0.773	0.418	30	'C1orf86'	0.70	5.95E-127	3.84E-123	48338	4231
'RPL27A'	0.686	0.536	'VAT1'	0.687	0.559				'TPD52'	-0.703	-0.311	'SKI'	0.63	0.327	'AKT1S1'	0.773	0.649	31	'RPL28'	0.70	1.05E-125	6.58E-122	1019047	5606
'MAP1LC3A'	0.686	0.619	'PTPRN'	0.686	0.515				'PCP4'	-0.706	-0.258	'INPP5E'	0.627	0.41	'GNB2'	0.773	0.652	32	'TAF10'	0.69	3.20E-123	1.89E-119	796913	2972
'RPL35A'	0.686	0.608	'RAB26'	0.686	0.488				'SRP9'	-0.717	-0.605	'MARVELD3'	0.626	0.236	'LRP10'	0.772	0.567	33	'ATP6V0C'	0.69	3.47E-121	1.98E-117	417941	5572
'CLSTN3'	0.684	0.61	'MYH14'	0.685	0.571							'AP2A2'	0.617	0.464	'R3HDM4'	0.771	0.634	34	'RAB5C'	0.69	1.47E-120	8.17E-117	977066	4866
'H1FX'	0.684	0.621	'LAMP1'	0.683	0.51							'PPP1R14B'	0.617	0.516	'MGAT4B'	0.771	0.581	35	'AP1S1'	0.68	9.15E-120	4.95E-116	1413131	3639
'C5orf38'	0.682	0.512	'APLP1'	0.681	0.428							'PRKACA'	0.617	0.487	'VAC14'	0.767	0.4	36	'NDUFA11'	0.67	1.58E-114	8.33E-111	1177308	4124
'EDF1'	0.682	0.608	'CACNA1H'	0.679	0.458							'ANKRD9'	0.614	0.33	'CEBPB'	0.764	0.404	37	'BSG'	0.67	6.63E-113	3.41E-109	1314252	5306
'RPS19'	0.681	0.521	'FLJ22184'	0.673	0.569							'IER5L'	0.613	0.169	'CYBA'	0.763	0.242	38	'RAB1B'	0.67	6.46E-112	3.23E-108	1042830	4812
'PNRC1'	0.68	0.566	'JUP'	0.666	0.566							'ANKRD52'	0.613	0.449	'C19orf43'	0.761	0.596	39	'ZNF428'	0.67	1.21E-111	5.92E-108	1312184	3177
'PARVB'	0.68	0.513	'PDX1'	0.665	0.156							'ATP11A'	0.612	0.203	'EPN1'	0.761	0.641	40	'SNRNP70'	0.67	2.11E-111	1.01E-107	848842	5954
