Institution	Vaccine	Type	Phase
OSAKA UNIVERSITY/ ANGES/ TAKARA BIO/ CYTIVA/ BRICKELL BIOTECH	DNA; (AG0301 & AG0302) PLASMID VACCINE + ADJUVANT	DNA-Based	Phase I
"GENEXINE CONSORTIUM (GENNBIO, INTERNATIONAL VACCINE INSTITUTE, KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY (KAIST), POHANG UNIVERSITY OF SCIENCE AND TECHNOLOGY (POSTECH)/ BINEX/ PT KALBE PHARMA"	DNA; (GX-19)	DNA-Based	Phase I
INOVIO PHARMACEUTICALS/ BEIJING ADVACCINE BIOTECHNOLOGY/ VGXI INC./ RICHTER-HELM BIOLOGICS/ OLOGY BIOSERVICES/ INTERNATIONAL VACCINE INSTITUTE/ SEOUL NATIONAL UNIVERSITY HOSPITAL/ THERMO FISHER SCIENTIFIC	DNA; (INO-4800) PLASMID VACCINE WITH ELECTROPORATION	DNA-Based	Phase I
ZYDUS CADILA HEALTHCARE LIMITED	DNA; (ZYCOV-D) PLASMID VACCINE	DNA-Based	Phase I
SYMVIVO	DNA; BACTRL-SPIKE	DNA-Based	Phase I
ONCOSEC MEDICAL INCORPORATED / PROVIDENCE CANCER INSTITUTE	"(CORVAX12), IL-12 EXPRESSION PLATFORM + “S” GLYCOPROTEIN"	DNA-Based	Pre-Clinical
"STATENS SERUM INSTITUTE, DENMARK"	DNA; (COVAXIX) PLASMID VACCINE	DNA-Based	Pre-Clinical
ENTOS PHARMACEUTICALS/ CYTIVA	DNA; (COVIGENIX)	DNA-Based	Pre-Clinical
BIONET ASIA/ TECHNOVALIA/ VAX4COVID/ THE UNIVERSITY OF SYDNEY/ THE UNIVERSITY OF WESTERN AUSTRALIA/ TELETHON KIDS INSTITUTE/ PHARMAJET	DNA; (COVIGEN) NEEDLE-FREE DELIVERY	DNA-Based	Pre-Clinical
"NATIONAL INSTITUTE OF CHEMISTRY, SLOVENIA"	"PLASMID DNA, NANOSTRUCTURED RBD"	DNA-Based	Pre-Clinical
"GLOBE BIOTECH LIMITED, BANGLADESH"	DNA PLASMID VACCINE	DNA-Based	Pre-Clinical
UNIVERSITY OF CAMBRIDGE/ DIOSYNVAX/ PHARMAJET	DNA; (DIOS-COVAX2) SYNTHETIC GENE INSERTS COMPATIBLE WITH MULTIPLE DELIVERY SYSTEMS	DNA-Based	Pre-Clinical
SCANCELL/ UNIVERSITY OF NOTTINGHAM/ NOTTINGHAM TRENT UNIVERSITY	DNA; PLASMID VACCINE RBD&N	DNA-Based	Pre-Clinical
MEDIPHAGE BIOCEUTICALS/ UNIVERSITY OF WATERLOO/ LAMBTON COLLEGE	DNA; MSDNA-VLP	DNA-Based	Pre-Clinical
IMMUNOMIC THERAPEUTICS/ EPIVAX/ PHARMAJET	"DNA; PLASMID VACCINE, NEEDLE-FREE DELIVERY"	DNA-Based	Pre-Clinical
CHULA VACCINE RESEARCH CENTER	DNA WITH ELECTROPORATION	DNA-Based	Pre-Clinical
OPENCORONA PROJECT: KAROLINSKA INSTITUTE/ JUSTUS LIEBIG UNIVERSITY GIESSEN/ PUBLIC HEALTH AGENCY OF SWEDEN (FOHM)/ IGEA/ COBRA BIOLOGICS/ ADLEGO BIOMEDICAL/ REGION STOCKHOLM	DNA WITH ELECTROPORATION	DNA-Based	Pre-Clinical
"NATIONAL RESEARCH CENTRE, EGYPT"	"DNA; PLASMID VACCINE S, S1, S2, RBD & N"	DNA-Based	Pre-Clinical
TAKIS/ APPLIED DNA SCIENCES/ EVVIVAX	DNA	DNA-Based	Pre-Clinical
EGE UNIVERSITY DRUG DEVELOPMENT AND PHARMACOKINETIC RESEARCH APPLICATION CENTER (ARGEFAR)/ SCIENTIFIC AND TECHNOLOGICAL RESEARCH COUNCIL OF TURKEY (TUBITAK)	DNA	DNA-Based	Pre-Clinical
BEIJING INSTITUTE OF BIOLOGICAL PRODUCTS/ SINOPHARM	"INACTIVATED, (BBIBP-CORV)"	Inactivated Virus	Approved in China
SINOVAC/ INSTITUTO BUTANTAN/ BIO FARMA	INACTIVATED (INACTIVATED + ALUM); CORONAVAC (FORMERLY PICOVACC)	Inactivated Virus	Approved in China
BHARAT BIOTECH/ INDIAN COUNCIL OF MEDICAL RESEARCH/ NATIONAL INSTITUTE OF VIROLOGY	INACTIVATED; WHOLE-VIRION (COVAXIN) (BBV152)	Inactivated Virus	Phase III
"INSTITUTE OF MEDICAL BIOLOGY, CHINESE ACADEMY OF MEDICAL SCIENCES"	INACTIVATED	Inactivated Virus	Phase II
"RESEARCH INSTITUTE FOR BIOLOGICAL SAFETY PROBLEMS, REPUBLIC OF KAZAKHSTAN"	"INACTIVATED, QAZCOVID-IN®"	Inactivated Virus	Phase I
ERCIYES UNIVERSITY	INACTIVATED; (ERUCOV-VAC)	Inactivated Virus	Phase I
INSTITUTE OF VACCINES AND MEDICAL BIOLOGICALS (IVAC; VIETNAM) / DYNAVAX / PATH	"EGG-BASED, INACTIVATED, WHOLE CHIMERIC NEWCASTLE DISEASE VIRUS (NDV) EXPRESSING MEMBRANE-ANCHORED PRE-FUSION-STABILIZED TRIMERIC SARS-COV-2 S PROTEIN (HEXAPRO) + CPG 1018"	Inactivated Virus	Pre-Clinical
KOCAK FARMA ILAC VE KIMYA SAN. A.S.	INACTIVATED	Inactivated Virus	Pre-Clinical
INSTITUTE BUTANTAN (BRAZIL) / DYNAVAX / PATH	"EGG-BASED, INACTIVATED, WHOLE CHIMERIC NEWCASTLE DISEASE VIRUS (NDV) EXPRESSING MEMBRANE-ANCHORED PRE-FUSION-STABILIZED TRIMERIC SARS-COV-2 S PROTEIN (HEXAPRO) + CPG 1018"	Inactivated Virus	Pre-Clinical
GOVERNMENT PHARMACEUTICAL ORGANIZATION (GPO; THAILAND) / DYNAVAX / PATH	"EGG-BASED, INACTIVATED, WHOLE CHIMERIC NEWCASTLE DISEASE VIRUS (NDV) EXPRESSING MEMBRANE-ANCHORED PRE-FUSION-STABILIZED TRIMERIC SARS-COV-2 S PROTEIN (HEXAPRO) + CPG 1018"	Inactivated Virus	Pre-Clinical
